elements,count
Hydrogen,43
Copper,24
Lead,24
Oxygen,21
Lithium,19
Carbon,19
Silicon,16
Tin,14
Gold,12
Iron,12
Manganese,11
Bismuth,10
Calcium,10
Zinc,9
Magnesium,8
Silver,8
Sodium,8
Tungsten,8
Nickel,8
Gallium,7
Cobalt,7
Yttrium,7
Boron,6
Titanium,6
Europium,6
Argon,6
Niobium,5
Barium,5
Phosphorus,5
Indium,5
Mercury,5
Gadolinium,4
Cadmium,4
Platinum,4
Chlorine,4
Tantalum,4
Iodine,3
Rubidium,3
Neon,3
Zirconium,3
Potassium,3
Thallium,2
Vanadium,2
Cerium,2
Strontium,2
Ruthenium,2
Molybdenum,2
Scandium,2
Beryllium,2
Polonium,2
Germanium,2
Praseodymium,2
Nitrogen,2
Helium,2
Terbium,2
Plutonium,2
Hafnium,1
Caesium,1
Aluminium,1
Rhodium,1
Iridium,1
Neodymium,1
Arsenic,1
Ytterbium,1
Lanthanum,1
Sulfur,1
Bromine,1
Lutetium,1
